13:26:44.629 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.036 seconds (JVM running for 4.934)
13:26:44.631 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
14:55:01.878 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 18780 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
14:55:01.878 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
14:55:06.042 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 4.453 seconds (JVM running for 5.27)
14:55:06.042 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
14:56:03.492 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 23800 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
14:56:03.507 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
14:56:56.642 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 8092 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
14:56:56.658 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
14:57:00.018 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.631 seconds (JVM running for 4.487)
14:57:00.019 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
15:06:09.595 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 3676 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
15:06:09.612 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
15:06:13.109 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Started Covid19TrackerApplication in 3.815 seconds (JVM running for 4.681)
15:06:13.109 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - This is the Mail Program After SpringBoot
15:12:20.038 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - Starting Covid19TrackerApplication on N-20N3PF1432RM with PID 26252 (C:\Users\rrajput\Downloads\Covid19-Tracker\target\classes started by rrajput in C:\Users\rrajput\Downloads\Covid19-Tracker)
15:12:20.038 [main] DEBUG com.coronavirus.tracker.Covid19TrackerApplication - Running with Spring Boot v2.3.3.RELEASE, Spring v5.2.8.RELEASE
15:12:20.038 [main] INFO  com.coronavirus.tracker.Covid19TrackerApplication - No active profile set, falling back to default profiles: default
